availability_id,room_id,date,available_stock,used_stock,total_stock
AV88,R3,05-28-2025,5,0,5
AV89,R3,05-29-2025,5,0,5
AV90,R3,05-30-2025,5,0,5
AV91,R4,05-01-2025,4,0,4
AV92,R4,05-02-2025,4,0,4
AV93,R4,05-03-2025,4,0,4
AV94,R4,05-04-2025,4,0,4
AV95,R4,05-05-2025,4,0,4
AV96,R4,05-06-2025,4,0,4
AV97,R4,05-07-2025,4,0,4
AV98,R4,05-08-2025,4,0,4
AV99,R4,05-09-2025,4,0,4
AV100,R4,05-10-2025,4,0,4
AV101,R4,05-11-2025,4,0,4
AV102,R4,05-12-2025,4,0,4
AV103,R4,05-13-2025,4,0,4
AV14,R4,05-14-2025,4,0,4
AV105,R4,05-15-2025,4,0,4
AV106,R4,05-16-2025,4,0,4
AV107,R4,05-17-2025,4,0,4
AV108,R4,05-18-2025,4,0,4
AV109,R4,05-19-2025,4,0,4
AV110,R4,05-20-2025,4,0,4
AV111,R4,05-21-2025,4,0,4
AV112,R4,05-22-2025,4,0,4
AV113,R4,05-23-2025,4,0,4
AV114,R4,05-24-2025,4,0,4
AV115,R4,05-25-2025,4,0,4
AV116,R4,05-26-2025,4,0,4
AV117,R4,05-27-2025,4,0,4
AV118,R4,05-28-2025,4,0,4
AV119,R4,05-29-2025,4,0,4
AV120,R4,05-30-2025,4,0,4
AV121,R5,05-01-2025,5,0,5
AV122,R5,05-02-2025,5,0,5
AV123,R5,05-03-2025,5,0,5
AV124,R5,05-04-2025,5,0,5
AV125,R5,05-05-2025,5,0,5
AV126,R5,05-06-2025,5,0,5
AV127,R5,05-07-2025,5,0,5
AV128,R5,05-08-2025,5,0,5
AV129,R5,05-09-2025,5,0,5
AV130,R5,05-10-2025,5,0,5
AV131,R5,05-11-2025,5,0,5
AV132,R5,05-12-2025,5,0,5
AV133,R5,05-13-2025,5,0,5
AV134,R5,05-14-2025,5,0,5
AV135,R5,05-15-2025,5,0,5
AV136,R5,05-16-2025,5,0,5
AV137,R5,05-17-2025,5,0,5
AV138,R5,05-18-2025,5,0,5
AV139,R5,05-19-2025,5,0,5
AV140,R5,05-20-2025,5,0,5
AV141,R5,05-21-2025,5,0,5
AV142,R5,05-22-2025,5,0,5
AV143,R5,05-23-2025,5,0,5
AV144,R5,05-24-2025,5,0,5
AV145,R5,05-25-2025,5,0,5
AV146,R5,05-26-2025,5,0,5
AV147,R5,05-27-2025,5,0,5
AV148,R5,05-28-2025,5,0,5
AV149,R5,05-29-2025,5,0,5
AV150,R5,05-30-2025,5,0,5
AV151,R6,05-01-2025,3,0,3
AV152,R6,05-02-2025,3,0,3
AV153,R6,05-03-2025,3,0,3
AV154,R6,05-04-2025,3,0,3
AV155,R6,05-05-2025,3,0,3
AV156,R6,05-06-2025,3,0,3
AV157,R6,05-07-2025,3,0,3
AV158,R6,05-08-2025,3,0,3
AV159,R6,05-09-2025,3,0,3
AV160,R6,05-10-2025,3,0,3
AV161,R6,05-11-2025,3,0,3
AV162,R6,05-12-2025,3,0,3
AV163,R6,05-13-2025,3,0,3
AV164,R6,05-14-2025,3,0,3
AV165,R6,05-15-2025,3,0,3
AV166,R6,05-16-2025,3,0,3
AV167,R6,05-17-2025,3,0,3
AV168,R6,05-18-2025,3,0,3
AV169,R6,05-19-2025,3,0,3
AV170,R6,05-20-2025,3,0,3
AV171,R6,05-21-2025,3,0,3
AV172,R6,05-22-2025,3,0,3
AV173,R6,05-23-2025,3,0,3
AV174,R6,05-24-2025,3,0,3
AV175,R6,05-25-2025,3,0,3
AV176,R6,05-26-2025,3,0,3
AV177,R6,05-27-2025,3,0,3
AV178,R6,05-28-2025,3,0,3
AV179,R6,05-29-2025,3,0,3
AV180,R6,05-30-2025,3,0,3
AV181,R7,05-01-2025,5,0,5
AV182,R7,05-02-2025,5,0,5
AV183,R7,05-03-2025,5,0,5
AV184,R7,05-04-2025,5,0,5
AV185,R7,05-05-2025,5,0,5
AV186,R7,05-06-2025,5,0,5
AV187,R7,05-07-2025,5,0,5
AV188,R7,05-08-2025,5,0,5
AV189,R7,05-09-2025,5,0,5
AV190,R7,05-10-2025,5,0,5
AV191,R7,05-11-2025,5,0,5
AV192,R7,05-12-2025,5,0,5
AV193,R7,05-13-2025,5,0,5
AV194,R7,05-14-2025,5,0,5
AV195,R7,05-15-2025,5,0,5
AV196,R7,05-16-2025,5,0,5
AV197,R7,05-17-2025,5,0,5
AV198,R7,05-18-2025,5,0,5
AV199,R7,05-19-2025,5,0,5
AV200,R7,05-20-2025,5,0,5
AV201,R7,05-21-2025,5,0,5
AV202,R7,05-22-2025,5,0,5
AV203,R7,05-23-2025,5,0,5
AV24,R7,05-24-2025,5,0,5
AV205,R7,05-25-2025,5,0,5
AV206,R7,05-26-2025,5,0,5
AV207,R7,05-27-2025,5,0,5
AV208,R7,05-28-2025,5,0,5
AV209,R7,05-29-2025,5,0,5
AV210,R7,05-30-2025,5,0,5
AV211,R8,05-01-2025,4,0,4
AV212,R8,05-02-2025,4,0,4
AV213,R8,05-03-2025,4,0,4
AV214,R8,05-04-2025,4,0,4
AV215,R8,05-05-2025,4,0,4
AV216,R8,05-06-2025,4,0,4
AV217,R8,05-07-2025,4,0,4
AV218,R8,05-08-2025,4,0,4
AV219,R8,05-09-2025,4,0,4
AV220,R8,05-10-2025,4,0,4
AV221,R8,05-11-2025,4,0,4
AV222,R8,05-12-2025,4,0,4
AV223,R8,05-13-2025,4,0,4
AV224,R8,05-14-2025,4,0,4
AV225,R8,05-15-2025,4,0,4
AV226,R8,05-16-2025,4,0,4
AV227,R8,05-17-2025,4,0,4
AV228,R8,05-18-2025,4,0,4
AV229,R8,05-19-2025,4,0,4
AV230,R8,05-20-2025,4,0,4
AV231,R8,05-21-2025,4,0,4
AV232,R8,05-22-2025,4,0,4
AV233,R8,05-23-2025,4,0,4
AV234,R8,05-24-2025,4,0,4
AV235,R8,05-25-2025,4,0,4
AV236,R8,05-26-2025,4,0,4
AV237,R8,05-27-2025,4,0,4
AV238,R8,05-28-2025,4,0,4
AV239,R8,05-29-2025,4,0,4
AV240,R8,05-30-2025,4,0,4
AV241,R9,05-01-2025,5,0,5
AV242,R9,05-02-2025,5,0,5
AV243,R9,05-03-2025,5,0,5
AV244,R9,05-04-2025,5,0,5
AV245,R9,05-05-2025,5,0,5
AV246,R9,05-06-2025,5,0,5
AV247,R9,05-07-2025,5,0,5
AV248,R9,05-08-2025,5,0,5
AV249,R9,05-09-2025,5,0,5
AV250,R9,05-10-2025,5,0,5
AV251,R9,05-11-2025,5,0,5
AV252,R9,05-12-2025,5,0,5
AV253,R9,05-13-2025,5,0,5
AV254,R9,05-14-2025,5,0,5
AV255,R9,05-15-2025,5,0,5
AV256,R9,05-16-2025,5,0,5
AV257,R9,05-17-2025,5,0,5
AV258,R9,05-18-2025,5,0,5
AV259,R9,05-19-2025,5,0,5
AV260,R9,05-20-2025,5,0,5
AV261,R9,05-21-2025,5,0,5
AV262,R9,05-22-2025,5,0,5
AV263,R9,05-23-2025,5,0,5
AV264,R9,05-24-2025,5,0,5
AV265,R9,05-25-2025,5,0,5
AV266,R9,05-26-2025,5,0,5
AV267,R9,05-27-2025,5,0,5
AV268,R9,05-28-2025,5,0,5
AV269,R9,05-29-2025,5,0,5
AV270,R9,05-30-2025,5,0,5
AV271,R10,05-01-2025,3,0,3
AV272,R10,05-02-2025,3,0,3
AV273,R10,05-03-2025,3,0,3
AV274,R10,05-04-2025,3,0,3
AV275,R10,05-05-2025,3,0,3
AV276,R10,05-06-2025,3,0,3
AV277,R10,05-07-2025,3,0,3
AV278,R10,05-08-2025,3,0,3
AV279,R10,05-09-2025,3,0,3
AV280,R10,05-10-2025,3,0,3
AV281,R10,05-11-2025,3,0,3
AV282,R10,05-12-2025,3,0,3
AV283,R10,05-13-2025,3,0,3
AV284,R10,05-14-2025,3,0,3
AV285,R10,05-15-2025,3,0,3
AV286,R10,05-16-2025,3,0,3
AV287,R10,05-17-2025,3,0,3
AV288,R10,05-18-2025,3,0,3
AV289,R10,05-19-2025,3,0,3
AV290,R10,05-20-2025,3,0,3
AV291,R10,05-21-2025,3,0,3
AV292,R10,05-22-2025,3,0,3
AV293,R10,05-23-2025,3,0,3
AV294,R10,05-24-2025,3,0,3
AV295,R10,05-25-2025,3,0,3
AV296,R10,05-26-2025,3,0,3
AV297,R10,05-27-2025,3,0,3
AV298,R10,05-28-2025,3,0,3
AV299,R10,05-29-2025,3,0,3
AV300,R10,05-30-2025,3,0,3
AV301,R11,05-01-2025,5,0,5
AV302,R11,05-02-2025,5,0,5
AV303,R11,05-03-2025,5,0,5
AV304,R11,05-04-2025,5,0,5
AV305,R11,05-05-2025,5,0,5
AV306,R11,05-06-2025,5,0,5
AV307,R11,05-07-2025,5,0,5
AV308,R11,05-08-2025,5,0,5
AV309,R11,05-09-2025,5,0,5
AV310,R11,05-10-2025,5,0,5
AV311,R11,05-11-2025,5,0,5
AV312,R11,05-12-2025,5,0,5
AV313,R11,05-13-2025,5,0,5
AV314,R11,05-14-2025,5,0,5
AV315,R11,05-15-2025,5,0,5
AV316,R11,05-16-2025,5,0,5
AV317,R11,05-17-2025,5,0,5
AV318,R11,05-18-2025,5,0,5
AV319,R11,05-19-2025,5,0,5
AV320,R11,05-20-2025,5,0,5
AV321,R11,05-21-2025,5,0,5
AV322,R11,05-22-2025,5,0,5
AV323,R11,05-23-2025,5,0,5
AV324,R11,05-24-2025,5,0,5
AV325,R11,05-25-2025,5,0,5
AV326,R11,05-26-2025,5,0,5
AV327,R11,05-27-2025,5,0,5
AV328,R11,05-28-2025,5,0,5
AV329,R11,05-29-2025,5,0,5
AV330,R11,05-30-2025,5,0,5
AV331,R12,05-01-2025,4,0,4
AV332,R12,05-02-2025,4,0,4
AV333,R12,05-03-2025,4,0,4
AV334,R12,05-04-2025,4,0,4
AV335,R12,05-05-2025,4,0,4
AV336,R12,05-06-2025,4,0,4
AV337,R12,05-07-2025,4,0,4
AV338,R12,05-08-2025,4,0,4
AV339,R12,05-09-2025,4,0,4
AV340,R12,05-10-2025,4,0,4
AV341,R12,05-11-2025,4,0,4
AV342,R12,05-12-2025,4,0,4
AV343,R12,05-13-2025,4,0,4
AV344,R12,05-14-2025,4,0,4
AV345,R12,05-15-2025,4,0,4
AV346,R12,05-16-2025,4,0,4
AV347,R12,05-17-2025,4,0,4
AV348,R12,05-18-2025,4,0,4
AV349,R12,05-19-2025,4,0,4
AV350,R12,05-20-2025,4,0,4
AV351,R12,05-21-2025,4,0,4
AV352,R12,05-22-2025,4,0,4
AV353,R12,05-23-2025,4,0,4
AV354,R12,05-24-2025,4,0,4
AV355,R12,05-25-2025,4,0,4
AV356,R12,05-26-2025,4,0,4
AV357,R12,05-27-2025,4,0,4
AV358,R12,05-28-2025,4,0,4
AV359,R12,05-29-2025,4,0,4
AV360,R12,05-30-2025,4,0,4
AV361,R13,05-01-2025,5,0,5
AV362,R13,05-02-2025,5,0,5
AV363,R13,05-03-2025,5,0,5
AV364,R13,05-04-2025,5,0,5
AV365,R13,05-05-2025,5,0,5
AV366,R13,05-06-2025,5,0,5
AV367,R13,05-07-2025,5,0,5
AV368,R13,05-08-2025,5,0,5
AV369,R13,05-09-2025,5,0,5
AV370,R13,05-10-2025,5,0,5
AV371,R13,05-11-2025,5,0,5
AV372,R13,05-12-2025,5,0,5
AV373,R13,05-13-2025,5,0,5
AV374,R13,05-14-2025,5,0,5
AV375,R13,05-15-2025,5,0,5
AV376,R13,05-16-2025,5,0,5
AV377,R13,05-17-2025,5,0,5
AV378,R13,05-18-2025,5,0,5
AV379,R13,05-19-2025,5,0,5
AV380,R13,05-20-2025,5,0,5
AV381,R13,05-21-2025,5,0,5
AV382,R13,05-22-2025,5,0,5
AV383,R13,05-23-2025,5,0,5
AV384,R13,05-24-2025,5,0,5
AV385,R13,05-25-2025,5,0,5
AV386,R13,05-26-2025,5,0,5
AV387,R13,05-27-2025,5,0,5
AV388,R13,05-28-2025,5,0,5
AV389,R13,05-29-2025,5,0,5
AV390,R13,05-30-2025,5,0,5
AV391,R14,05-01-2025,3,0,3
AV392,R14,05-02-2025,3,0,3
AV393,R14,05-03-2025,3,0,3
AV394,R14,05-04-2025,3,0,3
AV395,R14,05-05-2025,3,0,3
AV396,R14,05-06-2025,3,0,3
AV397,R14,05-07-2025,3,0,3
AV398,R14,05-08-2025,3,0,3
AV399,R14,05-09-2025,3,0,3
AV400,R14,05-10-2025,3,0,3
AV401,R14,05-11-2025,3,0,3
AV402,R14,05-12-2025,3,0,3
AV403,R14,05-13-2025,3,0,3
AV404,R14,05-14-2025,3,0,3
AV405,R14,05-15-2025,3,0,3
AV406,R14,05-16-2025,3,0,3
AV407,R14,05-17-2025,3,0,3
AV408,R14,05-18-2025,3,0,3
AV409,R14,05-19-2025,3,0,3
AV410,R14,05-20-2025,3,0,3
AV411,R14,05-21-2025,3,0,3
AV412,R14,05-22-2025,3,0,3
AV413,R14,05-23-2025,3,0,3
AV414,R14,05-24-2025,3,0,3
AV415,R14,05-25-2025,3,0,3
AV416,R14,05-26-2025,3,0,3
AV417,R14,05-27-2025,3,0,3
AV418,R14,05-28-2025,3,0,3
AV419,R14,05-29-2025,3,0,3
AV420,R14,05-30-2025,3,0,3
AV421,R15,05-01-2025,5,0,5
AV422,R15,05-02-2025,5,0,5
AV423,R15,05-03-2025,5,0,5
AV424,R15,05-04-2025,5,0,5
AV425,R15,05-05-2025,5,0,5
AV426,R15,05-06-2025,5,0,5
AV427,R15,05-07-2025,5,0,5
AV428,R15,05-08-2025,5,0,5
AV429,R15,05-09-2025,5,0,5
AV430,R15,05-10-2025,5,0,5
AV431,R15,05-11-2025,5,0,5
AV432,R15,05-12-2025,5,0,5
AV433,R15,05-13-2025,5,0,5
AV434,R15,05-14-2025,5,0,5
AV435,R15,05-15-2025,5,0,5
AV436,R15,05-16-2025,5,0,5
AV437,R15,05-17-2025,5,0,5
AV438,R15,05-18-2025,5,0,5
AV439,R15,05-19-2025,5,0,5
AV440,R15,05-20-2025,5,0,5
AV441,R15,05-21-2025,5,0,5
AV442,R15,05-22-2025,5,0,5
AV443,R15,05-23-2025,5,0,5
AV444,R15,05-24-2025,5,0,5
AV445,R15,05-25-2025,5,0,5
AV446,R15,05-26-2025,5,0,5
AV447,R15,05-27-2025,5,0,5
AV448,R15,05-28-2025,5,0,5
AV449,R15,05-29-2025,5,0,5
AV450,R15,05-30-2025,5,0,5
AV451,R16,05-01-2025,4,0,4
AV452,R16,05-02-2025,4,0,4
AV453,R16,05-03-2025,4,0,4
AV454,R16,05-04-2025,4,0,4
AV455,R16,05-05-2025,4,0,4
AV456,R16,05-06-2025,4,0,4
AV457,R16,05-07-2025,4,0,4
AV458,R16,05-08-2025,4,0,4
AV459,R16,05-09-2025,4,0,4
AV460,R16,05-10-2025,4,0,4
AV461,R16,05-11-2025,4,0,4
AV462,R16,05-12-2025,4,0,4
AV463,R16,05-13-2025,4,0,4
AV464,R16,05-14-2025,4,0,4
AV465,R16,05-15-2025,4,0,4
AV466,R16,05-16-2025,4,0,4
AV467,R16,05-17-2025,4,0,4
AV468,R16,05-18-2025,4,0,4
AV469,R16,05-19-2025,4,0,4
AV470,R16,05-20-2025,4,0,4
AV471,R16,05-21-2025,4,0,4
AV472,R16,05-22-2025,4,0,4
AV473,R16,05-23-2025,4,0,4
AV474,R16,05-24-2025,4,0,4
AV475,R16,05-25-2025,4,0,4
AV476,R16,05-26-2025,4,0,4
AV477,R16,05-27-2025,4,0,4
AV478,R16,05-28-2025,4,0,4
AV479,R16,05-29-2025,4,0,4
AV480,R16,05-30-2025,4,0,4
